Learning,Repository,File,Pull Request,URL,Created By,Usage,Last Used,Created At,Updated At
"The getFertilizer function from @svenvw/fdm-core throws an exception if the fertilizer doesn't exist, rather than returning null or undefined.","fdm","fdm-app/app/routes/farm.create.$b_id_farm.$calendar.fertilizers.$b_lu_catalogue.manage.$p_id.tsx","272","","BoraIneviNMI","45","February 23rd 2026, 6:19:29 pm","September 23rd 2025, 12:02:32 pm","September 23rd 2025, 12:02:32 pm"
"In `fdm-app/app/components/blocks/atlas-fields/cultivation-history.tsx`, the NMI API for cultivations guarantees that each year will be unique in the cultivation history data, so using `cultivation.year` as a React list key is safe and won't cause duplicate key warnings.","fdm","fdm-app/app/components/blocks/atlas-fields/cultivation-history.tsx","233","","SvenVw","123","February 23rd 2026, 6:19:29 pm","August 11th 2025, 2:24:32 pm","August 11th 2025, 2:24:32 pm"
"The fdm-app project uses Tailwind CSS v4 (version 4.1.18), which introduced canonical class names aligned with CSS properties. In v4, `wrap-break-word` is the canonical class name for word wrapping, while `break-words` is a v3 compatibility alias. The canonical class names should be preferred to follow v4 conventions.
</learning]
</add_learning]","fdm","fdm-app/app/components/blocks/farm/farm-title.tsx","422","","SvenVw","336","February 23rd 2026, 6:19:29 pm","January 16th 2026, 1:55:54 pm","January 16th 2026, 1:55:54 pm"
"The project uses `react-router` v7, and the `data` function is exported and used for error handling in loaders and actions.","fdm","fdm-app/app/routes/app.addfarm.$b_id_farm.cultivations.$b_lu_catalogue.fertilizers.tsx","16","","SvenVw","76","February 23rd 2026, 6:19:29 pm","December 16th 2024, 11:56:07 am","December 16th 2024, 11:56:07 am"
"In the fdm project, fdm-calculator integration for new features like b_lu_variety is handled in separate updates from the core data model changes. When fdm-core functions are updated to support new fields, fdm-calculator can consume these enhanced APIs without requiring changes in the same PR that introduces the core functionality.","fdm","","","https://github.com/SvenVw/fdm/pull/237","SvenVw","104","February 23rd 2026, 6:19:29 pm","August 13th 2025, 12:33:05 pm","August 13th 2025, 12:33:05 pm"
"A comprehensive farm layout system has been created in `components/custom/farm-layouts/` with `BaseFarmLayout` and `FarmSidebarLayout` components. The system supports both simple and sidebar-based layouts while maintaining consistent header and farm selection functionality across all farm routes.","fdm","fdm-app/app/routes/farm/_b_id_farm/layout.tsx","42","","SvenVw","106","February 23rd 2026, 6:19:29 pm","January 9th 2025, 5:03:37 pm","January 9th 2025, 5:03:37 pm"
"When using `useRemixForm`, the correct type for the `form` prop is `UseRemixFormReturn<T>` from `remix-hook-form`, not `UseFormReturn` from `react-hook-form`.","fdm","fdm-app/app/components/custom/combobox.tsx","16","","SvenVw","8","February 23rd 2026, 6:19:29 pm","December 16th 2024, 11:56:33 am","December 16th 2024, 11:56:33 am"
"In the fdm project, NavLink and other routing components can be imported from either ""react-router"" or ""react-router-dom"" as react-router-dom is included in react-router.","fdm","fdm-app/app/components/custom/farm/farm-title.tsx","124","","SvenVw","46","February 23rd 2026, 6:19:29 pm","April 18th 2025, 3:49:17 pm","April 18th 2025, 3:49:17 pm"
"When cleaning up test data in `afterAll` hooks in `fdm-data/src/cultivations/index.test.ts`, use `fdm.delete(schema.tableName).execute();` to delete rows from a table without dropping the table itself.","fdm","fdm-data/src/cultivations/index.test.ts","9","","SvenVw","18","February 23rd 2026, 6:19:29 pm","November 27th 2024, 12:27:27 pm","November 27th 2024, 12:27:27 pm"
"In the FDM farm management application, storing map viewState (including longitude and latitude coordinates) in sessionStorage is an acceptable design decision. The coordinates primarily represent farm field locations (business data) rather than sensitive personal addresses. Users explicitly grant geolocation permission when enabling the tracking feature via GeolocateControl, and sessionStorage is client-side only. This serves essential functionality for map state restoration across sessions.","fdm","fdm-app/app/routes/farm.$b_id_farm.$calendar.atlas.elevation.tsx","376","","SvenVw","388","February 23rd 2026, 6:19:29 pm","December 15th 2025, 1:19:58 pm","December 15th 2025, 1:19:58 pm"
